"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","arlab151",,,,"User:","spuser"
"Cmdline:","dstat --time -v --net --output /flash/spark/pid_monitor/rundir/TERASORT/20150616-143627/data/raw/SIZE_GB=100.PARTS=1920.2.dstat.csv 5",,,,"Date:","16 Jun 2015 14:55:57 CDT"

"system","procs",,,"memory usage",,,,"paging",,"dsk/total",,"system",,"total cpu usage",,,,,,"net/total",
"time","run","blk","new","used","buff","cach","free","in","out","read","writ","int","csw","usr","sys","idl","wai","hiq","siq","recv","send"
16-06 14:55:57,0.000,0.0,4.748,21603811328.0,3120758784.0,2.49810321408e+11,8.22504390656e+11,89.077,111.737,26004382.181,27512314.401,10284.751,13621.970,2.471,0.470,96.574,0.406,0.037,0.042,0.0,0.0
16-06 14:56:02,150.200,0.200,1138.400,25998262272.0,3120824320.0,2.49811238912e+11,8.18108956672e+11,0.0,0.0,819.200,241664.0,24381.0,129490.200,7.948,1.063,90.860,0.019,0.071,0.039,1731.400,1400.400
16-06 14:56:07,83.200,0.200,627.200,59117010944.0,3120889856.0,2.49817530368e+11,7.84983851008e+11,0.0,0.0,819.200,449740.800,53199.0,320511.600,29.901,2.855,66.920,0.014,0.204,0.106,18162.0,21850.600
16-06 14:56:12,44.600,0.0,59.400,1.13050451968e+11,3120889856.0,2.49820676096e+11,7.31047264256e+11,0.0,0.0,0.0,294092.800,67576.0,370740.200,37.268,5.046,57.131,0.0,0.297,0.257,80804.800,46611820.800
16-06 14:56:17,69.200,0.0,61.0,2.49557876736e+11,3120955392.0,2.49820807168e+11,5.9453964288e+11,0.0,0.0,0.0,53248.0,85667.400,110060.600,46.790,8.839,43.164,0.001,0.661,0.545,37230.400,43944958.400
16-06 14:56:22,20.800,0.0,72.400,2.96233664512e+11,3120955392.0,2.4982093824e+11,5.47863724032e+11,0.0,0.0,819.200,7372.800,87165.600,124367.800,47.775,7.272,43.884,0.0,0.575,0.495,4541.800,1815.400
16-06 14:56:27,11.600,0.0,70.0,2.97020358656e+11,3120955392.0,2.4982126592e+11,5.47076702208e+11,0.0,0.0,819.200,374374.400,86718.600,120191.200,47.316,6.142,45.532,0.016,0.529,0.465,3673.600,1523.400
16-06 14:56:32,20.200,0.0,52.400,2.97666347008e+11,3120955392.0,2.49821331456e+11,5.4643064832e+11,0.0,0.0,0.0,351436.800,57790.0,74483.800,22.278,3.239,73.924,0.003,0.295,0.260,86556.600,44308014.400
16-06 14:56:37,139.800,0.0,101.600,2.98150592512e+11,3121086464.0,2.49821528064e+11,5.45946075136e+11,0.0,0.0,0.0,430899.200,170755.0,168003.0,48.863,8.272,41.209,0.001,0.789,0.866,1741817.600,849809949.600
16-06 14:56:42,21.0,0.0,29.400,2.9893328896e+11,3121152000.0,2.49821659136e+11,5.4516318208e+11,0.0,0.0,0.0,601292.800,100075.800,110225.400,21.730,4.609,72.806,0.011,0.381,0.463,2191587.800,1065347170.0
16-06 14:56:47,20.800,0.0,20.800,2.99618009088e+11,3121217536.0,2.50617266176e+11,5.43682789376e+11,0.0,0.0,819.200,321126.400,118975.600,85740.400,47.322,6.941,44.560,0.003,0.633,0.541,632038.200,264920095.0
16-06 14:56:52,212.800,0.0,17.800,3.11684694016e+11,3121217536.0,2.5205571584e+11,5.30177654784e+11,0.0,0.0,819.200,141262848.0,89152.0,78914.600,44.498,9.948,44.561,0.005,0.565,0.423,1357756.600,808473648.0
16-06 14:56:57,81.400,0.0,14.200,3.07596099584e+11,3121283072.0,2.53547118592e+11,5.32774780928e+11,0.0,0.0,0.0,299202150.400,58276.200,88143.200,41.470,11.264,46.499,0.019,0.419,0.328,119461.200,3215.400
16-06 14:57:02,114.400,0.0,11.600,3.19324880896e+11,3121414144.0,2.55280611328e+11,5.19312375808e+11,0.0,0.0,0.0,489881.600,60078.600,81993.400,46.589,5.482,47.321,0.002,0.321,0.285,3061.800,1795.200
16-06 14:57:07,67.0,0.0,14.800,3.30481729536e+11,3121479680.0,2.56917700608e+11,5.06518372352e+11,0.0,0.0,819.200,391577.600,62753.0,67642.600,46.828,5.371,47.177,0.014,0.331,0.280,2918.800,1589.400
16-06 14:57:12,20.200,0.0,19.600,3.3359364096e+11,3121479680.0,2.58610495488e+11,5.01713666048e+11,0.0,0.0,819.200,153101926.400,63069.600,81688.200,46.946,5.210,47.192,0.038,0.328,0.285,3270.400,1825.400
16-06 14:57:17,43.400,0.0,16.600,3.53506164736e+11,3121545216.0,2.604531712e+11,4.79958401024e+11,0.0,0.0,0.0,1103701606.400,64420.0,73709.800,47.515,4.743,46.832,0.303,0.331,0.275,2764.600,1630.800
16-06 14:57:22,158.600,0.0,15.0,3.79236122624e+11,3121610752.0,2.62149767168e+11,4.52531781632e+11,0.0,0.0,0.0,21073920.0,60075.800,69448.800,44.323,8.008,47.044,0.001,0.377,0.247,4213.600,1972.600
16-06 14:57:27,83.200,0.0,14.600,3.93707651072e+11,3121676288.0,2.63703822336e+11,4.3650613248e+11,0.0,0.0,819.200,205619.200,62348.0,102525.400,47.097,5.179,47.175,0.003,0.320,0.225,3875.200,1589.400
16-06 14:57:32,20.0,0.0,15.400,3.94491461632e+11,3121676288.0,2.65600958464e+11,4.33825185792e+11,0.0,0.0,819.200,503808.0,62648.0,69788.800,47.954,4.094,47.386,0.0,0.304,0.262,4199.800,1803.200
16-06 14:57:37,19.400,0.0,17.200,3.97023051776e+11,3121676288.0,2.67424038912e+11,4.294705152e+11,0.0,0.0,0.0,56977817.600,63873.400,86687.600,47.916,4.204,47.293,0.006,0.310,0.271,3948.800,1589.400
16-06 14:57:42,19.600,0.0,16.0,3.97891534848e+11,3121676288.0,2.69356040192e+11,4.26670030848e+11,0.0,0.0,0.0,105456435.200,63467.800,70049.800,47.951,4.183,47.278,0.009,0.311,0.267,3958.800,1803.400
16-06 14:57:47,70.400,0.0,16.600,4.02876071936e+11,3121807360.0,2.71232466944e+11,4.19808935936e+11,0.0,0.0,819.200,1816758681.600,64285.0,81748.400,47.726,4.391,47.023,0.261,0.312,0.286,3531.400,1567.200
16-06 14:57:52,43.600,0.0,17.200,4.06945726464e+11,3121807360.0,2.73108041728e+11,4.13863706624e+11,0.0,0.0,819.200,253952.0,62399.200,93022.400,47.831,4.129,47.500,0.0,0.298,0.242,4086.400,1825.400
16-06 14:57:57,43.0,0.0,13.600,4.0849342464e+11,3121807360.0,2.749923328e+11,4.10431717376e+11,0.0,0.0,0.0,244940.800,62322.400,82020.200,47.950,4.170,47.338,0.001,0.299,0.241,3979.200,1589.400
16-06 14:58:02,43.0,0.0,36.400,4.08528420864e+11,3121807360.0,2.76900282368e+11,4.08488771584e+11,0.0,0.0,0.0,543948.800,55224.200,64880.600,37.295,3.201,59.100,0.001,0.230,0.173,3585.400,1803.200
16-06 14:58:07,19.200,0.0,6.800,4.08615714816e+11,3121872896.0,2.78164471808e+11,4.07137222656e+11,0.0,0.0,819.200,146979225.600,139341.200,106818.400,47.617,7.209,43.888,0.001,0.618,0.666,1837471.0,865695506.0
16-06 14:58:12,19.0,0.200,35.200,4.08704581632e+11,3122135040.0,2.79746576384e+11,4.0546598912e+11,0.0,0.0,819.200,1056156057.600,90418.200,119278.400,48.004,5.265,45.814,0.087,0.432,0.398,398341.600,404137956.0
16-06 14:58:17,67.600,0.0,32.0,4.08792203264e+11,3122331648.0,2.81758662656e+11,4.03366084608e+11,0.0,0.0,0.0,828142387.200,109053.800,113619.0,47.602,6.446,44.904,0.066,0.495,0.487,1110372.0,946657232.200
16-06 14:58:22,94.600,0.0,29.200,4.09234505728e+11,3122397184.0,2.83744796672e+11,4.00937582592e+11,0.0,0.0,0.0,271155.200,112410.400,109611.200,47.631,6.300,45.139,0.001,0.488,0.440,1183543.800,1025748551.600
16-06 14:58:27,29.200,0.0,1.600,4.09258295296e+11,3122528256.0,2.85303504896e+11,3.99354953728e+11,0.0,0.0,0.0,240844.800,54009.0,58840.0,30.357,2.908,66.340,0.002,0.211,0.182,367902.200,342435052.0
16-06 14:58:32,58.200,0.0,9.400,4.10776895488e+11,3122528256.0,2.8552855552e+11,3.97611302912e+11,0.0,0.0,819.200,406323.200,87697.200,67546.600,21.957,2.076,75.369,0.0,0.270,0.328,8235050.800,12069432.600
16-06 14:58:37,51.0,0.0,0.0,4.12513861632e+11,3122528256.0,2.85528621056e+11,3.95874271232e+11,0.0,0.0,819.200,388300.800,159291.0,69654.400,47.205,2.835,48.968,0.002,0.444,0.546,96505788.200,377560776.600
16-06 14:58:42,25.400,0.0,47.600,4.11848998912e+11,3122528256.0,2.86809522176e+11,3.95258232832e+11,0.0,0.0,0.0,185006489.600,92018.600,101528.0,49.134,4.457,45.680,0.010,0.416,0.303,46485932.400,2845796.800
16-06 14:58:47,71.400,0.0,68.400,4.12468641792e+11,3122593792.0,2.93358206976e+11,3.88089839616e+11,0.0,0.0,0.0,454450380.800,251879.600,219013.400,49.656,12.015,35.791,0.158,1.153,1.228,765665362.400,658777384.200
