"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","arlab176",,,,"User:","spuser"
"Cmdline:","dstat --time -v --net --output /home/spuser/pid_monitor/rundir/EXAMPLE-SWEEP/20150623-174712/data/raw/BLOCK_SIZE_KB=512.2.dstat.csv 1",,,,"Date:","23 Jun 2015 17:47:56 CDT"

"system","procs",,,"memory usage",,,,"paging",,"dsk/total",,"system",,"total cpu usage",,,,,,"net/total",
"time","run","blk","new","used","buff","cach","free","in","out","read","writ","int","csw","usr","sys","idl","wai","hiq","siq","recv","send"
23-06 17:47:56,0.0,0.000,1.456,36748460032.0,1447886848.0,4.31097970688e+11,6.27745030144e+11,60153.480,221363.739,1046395.268,15184576.307,7210.469,20480.605,1.214,0.289,98.418,0.041,0.019,0.019,0.0,0.0
23-06 17:47:57,0.0,1.0,0.0,36743217152.0,1447886848.0,4.31098298368e+11,6.27749945344e+11,0.0,0.0,0.0,56500224.0,9113.0,16862.0,0.036,0.187,99.236,0.520,0.016,0.005,1914.0,1939.0
23-06 17:47:58,0.0,1.0,0.0,36747542528.0,1447886848.0,4.3109842944e+11,6.27745488896e+11,0.0,0.0,4096.0,57425920.0,9932.0,18267.0,0.037,0.209,99.218,0.511,0.016,0.010,2106.0,3488.0
23-06 17:47:59,0.0,1.0,0.0,36747476992.0,1447886848.0,4.3109842944e+11,6.27745554432e+11,0.0,0.0,0.0,57671680.0,9338.0,17046.0,0.031,0.193,99.248,0.512,0.010,0.005,1037.0,816.0
23-06 17:48:00,0.0,1.0,0.0,36747608064.0,1447886848.0,4.3109842944e+11,6.2774542336e+11,0.0,0.0,0.0,57671680.0,9295.0,17736.0,0.036,0.203,99.225,0.510,0.016,0.010,1309.0,1354.0
23-06 17:48:01,0.0,1.0,0.0,36747542528.0,1447886848.0,4.3109842944e+11,6.27745488896e+11,0.0,0.0,0.0,57671680.0,9182.0,16952.0,0.037,0.183,99.247,0.512,0.016,0.005,1533.0,1184.0
23-06 17:48:02,0.0,1.0,0.0,36747542528.0,1447886848.0,4.3109842944e+11,6.27745488896e+11,0.0,0.0,0.0,55635968.0,9464.0,18220.0,0.036,0.208,99.208,0.521,0.016,0.010,1314.0,449.0
23-06 17:48:03,0.0,1.0,0.0,36747542528.0,1447886848.0,4.3109842944e+11,6.27745488896e+11,0.0,0.0,0.0,57683968.0,9248.0,16924.0,0.036,0.198,99.240,0.510,0.010,0.005,1837.0,1725.0
23-06 17:48:04,0.0,1.0,0.0,36747608064.0,1447886848.0,4.3109842944e+11,6.2774542336e+11,0.0,0.0,4096.0,57671680.0,9393.0,17911.0,0.036,0.203,99.228,0.511,0.016,0.005,1657.0,1555.0
23-06 17:48:05,0.0,1.0,2.0,36747476992.0,1447886848.0,4.3109842944e+11,6.27745554432e+11,0.0,0.0,0.0,57147392.0,9150.0,16973.0,0.031,0.188,99.242,0.512,0.016,0.010,1603.0,1552.0
